,Hotel Name,Hotel Address,Hotel rating,Hotel ambiance
0,Fun Islands Resort - Maldives,South Male Atoll,4.5 / 5,Deluxe Bungalow with Beach View with Free Breakfast
1,Sun Island Resort & Spa Maldives,South Ari Atoll,4.5 / 5,Sun Garden Villa
2,Velana Beach Maldives,Maafushi,4.5 / 5,Super Deluxe with Breakfast
3,Royal Island Resort & Spa,Baa Atoll,4.5 / 5,Royal Garden Villa
4,Arena Beach Hotel,Maafushi,4.5 / 5,Standard Deluxe Room with Breakfast
5,Holiday Island Resort & Spa,Dhiffushi,4.8 / 5,Superior Beach Villa
6,AYADA Maldives,Maguhdhuvaa Island,4.7/5,GARDEN VILLA with Breakfast
7,Season Paradise Hotel Maldives,Thulusdhoo,4.1 / 5,Seaview Room with Breakfast
8,Kaani Village & Spa,Maafushi,4.5 / 5,Deluxe Double Room Pool View with Breakfast
9,Somerset Inn,Male,4.5 / 5,Standard Double or Twin Room with Free Return Airport Transfer
